"trial_type","trial_index","time_elapsed","internal_node_id","userID","sessionType","success","rt","responses","stage","stimulus","key_press","sequence","recall","sequence_last_digits","digit","correct"
"html-keyboard-response","104","301843","0.0-48.0-22.0-20.0-14.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","9,7,4,8,7,9,2,7,3,0,3,2,7","","","7",""
"html-keyboard-response","105","303629","0.0-48.0-22.0-20.0-15.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","9,7,4,8,7,9,2,7,3,0,3,2,7","","","4",""
"html-keyboard-response","106","305416","0.0-48.0-22.0-20.0-16.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">8</div>","null","9,7,4,8,7,9,2,7,3,0,3,2,7","","","8",""
"html-keyboard-response","107","307202","0.0-48.0-22.0-20.0-17.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","9,7,4,8,7,9,2,7,3,0,3,2,7","","","7",""
"html-keyboard-response","108","308989","0.0-48.0-22.0-20.0-18.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","9,7,4,8,7,9,2,7,3,0,3,2,7","","","9",""
"html-keyboard-response","109","310777","0.0-48.0-22.0-20.0-19.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">2</div>","null","9,7,4,8,7,9,2,7,3,0,3,2,7","","","2",""
"html-keyboard-response","110","312564","0.0-48.0-22.0-20.0-20.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","9,7,4,8,7,9,2,7,3,0,3,2,7","","","7",""
"html-keyboard-response","111","314351","0.0-48.0-22.0-20.0-21.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">3</div>","null","9,7,4,8,7,9,2,7,3,0,3,2,7","","","3",""
"html-keyboard-response","112","316138","0.0-48.0-22.0-20.0-22.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","9,7,4,8,7,9,2,7,3,0,3,2,7","","","0",""
"html-keyboard-response","113","317926","0.0-48.0-22.0-20.0-23.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">3</div>","null","9,7,4,8,7,9,2,7,3,0,3,2,7","","","3",""
"html-keyboard-response","114","319711","0.0-48.0-22.0-20.0-24.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">2</div>","null","9,7,4,8,7,9,2,7,3,0,3,2,7","","","2",""
"html-keyboard-response","115","321498","0.0-48.0-22.0-20.0-25.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","9,7,4,8,7,9,2,7,3,0,3,2,7","","","7",""
"survey-html-form-autofocus","116","327766","0.0-48.0-22.0-20.0-26.0","L2SPAN_2023_41","PRE","","5602","{""recall"":""0327""}","recall","","","9748792730327","0327","0327","","true"
"html-keyboard-response","117","329228","0.0-48.0-22.0-20.0-27.0-0.0","L2SPAN_2023_41","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","118","331015","0.0-48.0-22.0-20.0-27.0-1.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">3</div>","null","3,9,5,7,0,5,8,9,5,8","","","3",""
"html-keyboard-response","119","332802","0.0-48.0-22.0-20.0-27.0-2.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","3,9,5,7,0,5,8,9,5,8","","","9",""
"html-keyboard-response","120","334588","0.0-48.0-22.0-20.0-27.0-3.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","3,9,5,7,0,5,8,9,5,8","","","5",""
"html-keyboard-response","121","336376","0.0-48.0-22.0-20.0-27.0-4.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","3,9,5,7,0,5,8,9,5,8","","","7",""
"html-keyboard-response","122","338162","0.0-48.0-22.0-20.0-27.0-5.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","3,9,5,7,0,5,8,9,5,8","","","0",""
"html-keyboard-response","123","339950","0.0-48.0-22.0-20.0-27.0-6.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","3,9,5,7,0,5,8,9,5,8","","","5",""
